# docker logs terasort1
2023-03-31 11:16:10,010 [info ] [139856973143232] /home/kevin/git/lwdee/app.cpp:49 init : this is node1
log is not initilaized
2023-03-31 11:16:10,011 [debug] [139856973143232] /home/kevin/git/lwdee/terasort/driver/TerasortConfig.cpp:46 readConfig : /home/terasort/data/data-input.dat /home/terasort/data/data-output.dat 9999 72 72
log is not initilaized
log path: ../log
2023-03-31 11:16:10,011 [info ] [139856973143232] /home/kevin/git/lwdee/app.cpp:97 init_logger : -- app starting ...
2023-03-31 11:16:10,014 [info ] [139856973143232] /home/kevin/git/lwdee/terasort/driver/Driver.cpp:41 samples : < samples
2023-03-31 11:16:10,014 [debug] [139856973143232] /home/kevin/git/lwdee/terasort/driver/Driver.cpp:47 samples : invoke dco.sample, split: 1
2023-03-31 11:16:10,014 [trace] [139856973143232] /home/kevin/git/lwdee/terasort/lwdee/lwdee.cpp:20 create_dco : create dco node2 SampleDCO
2023-03-31 11:16:10,017 [debug] [139856973143232] /home/kevin/git/lwdee/terasort/driver/Driver.cpp:47 samples : invoke dco.sample, split: 2
2023-03-31 11:16:10,017 [trace] [139856973143232] /home/kevin/git/lwdee/terasort/lwdee/lwdee.cpp:20 create_dco : create dco node3 SampleDCO
2023-03-31 11:16:10,021 [debug] [139856973143232] /home/kevin/git/lwdee/terasort/driver/Driver.cpp:47 samples : invoke dco.sample, split: 3
2023-03-31 11:16:10,022 [trace] [139856973143232] /home/kevin/git/lwdee/terasort/lwdee/lwdee.cpp:20 create_dco : create dco node4 SampleDCO
2023-03-31 11:16:10,025 [debug] [139856973143232] /home/kevin/git/lwdee/terasort/driver/Driver.cpp:47 samples : invoke dco.sample, split: 4
2023-03-31 11:16:10,025 [trace] [139856973143232] /home/kevin/git/lwdee/terasort/lwdee/lwdee.cpp:20 create_dco : create dco node5 SampleDCO
2023-03-31 11:16:10,028 [debug] [139856973143232] /home/kevin/git/lwdee/terasort/driver/Driver.cpp:47 samples : invoke dco.sample, split: 5
2023-03-31 11:16:10,029 [trace] [139856973143232] /home/kevin/git/lwdee/terasort/lwdee/lwdee.cpp:20 create_dco : create dco node6 SampleDCO
2023-03-31 11:16:10,032 [debug] [139856973143232] /home/kevin/git/lwdee/terasort/driver/Driver.cpp:47 samples : invoke dco.sample, split: 6
2023-03-31 11:16:10,032 [trace] [139856973143232] /home/kevin/git/lwdee/terasort/lwdee/lwdee.cpp:20 create_dco : create dco node2 SampleDCO
2023-03-31 11:16:10,035 [debug] [139856973143232] /home/kevin/git/lwdee/terasort/driver/Driver.cpp:47 samples : invoke dco.sample, split: 7
2023-03-31 11:16:10,035 [trace] [139856973143232] /home/kevin/git/lwdee/terasort/lwdee/lwdee.cpp:20 create_dco : create dco node3 SampleDCO
2023-03-31 11:16:10,038 [debug] [139856973143232] /home/kevin/git/lwdee/terasort/driver/Driver.cpp:47 samples : invoke dco.sample, split: 8
2023-03-31 11:16:10,038 [trace] [139856973143232] /home/kevin/git/lwdee/terasort/lwdee/lwdee.cpp:20 create_dco : create dco node4 SampleDCO
2023-03-31 11:16:10,042 [debug] [139856973143232] /home/kevin/git/lwdee/terasort/driver/Driver.cpp:47 samples : invoke dco.sample, split: 9
2023-03-31 11:16:10,042 [trace] [139856973143232] /home/kevin/git/lwdee/terasort/lwdee/lwdee.cpp:20 create_dco : create dco node5 SampleDCO
2023-03-31 11:16:10,045 [debug] [139856973143232] /home/kevin/git/lwdee/terasort/driver/Driver.cpp:47 samples : invoke dco.sample, split: 10
2023-03-31 11:16:10,045 [trace] [139856973143232] /home/kevin/git/lwdee/terasort/lwdee/lwdee.cpp:20 create_dco : create dco node6 SampleDCO
